Epoch 548, Validation Loss: 0.057
Epoch 549, Validation Loss: 0.059
Epoch 550, Validation Loss: 0.062
Epoch 551, Validation Loss: 0.055
Epoch 552, Validation Loss: 0.059
Epoch 553, Validation Loss: 0.057
Epoch 554, Validation Loss: 0.059
Epoch 555, Validation Loss: 0.055
Epoch 556, Validation Loss: 0.055
Epoch 557, Validation Loss: 0.057
Epoch 558, Validation Loss: 0.066
Epoch 559, Validation Loss: 0.055
Epoch 560, Validation Loss: 0.056
Epoch 561, Validation Loss: 0.065
Epoch 562, Validation Loss: 0.060
Epoch 563, Validation Loss: 0.048
Epoch 564, Validation Loss: 0.059
Epoch 565, Validation Loss: 0.059
Epoch 566, Validation Loss: 0.058
Epoch 567, Validation Loss: 0.052
Epoch 568, Validation Loss: 0.057
Epoch 569, Validation Loss: 0.057
Epoch 570, Validation Loss: 0.057
Epoch 571, Validation Loss: 0.056
Epoch 572, Validation Loss: 0.055
Epoch 573, Validation Loss: 0.054
Epoch 574, Validation Loss: 0.060
Epoch 575, Validation Loss: 0.057
Epoch 576, Validation Loss: 0.061
Epoch 577, Validation Loss: 0.058
Epoch 578, Validation Loss: 0.054
Epoch 579, Validation Loss: 0.060
Epoch 580, Validation Loss: 0.067
Epoch 581, Validation Loss: 0.064
Epoch 582, Validation Loss: 0.062
Epoch 583, Validation Loss: 0.064
Epoch 584, Validation Loss: 0.078
Epoch 585, Validation Loss: 0.070
Epoch 586, Validation Loss: 0.051
Epoch 587, Validation Loss: 0.050
Epoch 588, Validation Loss: 0.063
Epoch 589, Validation Loss: 0.054
Epoch 590, Validation Loss: 0.053
Epoch 591, Validation Loss: 0.053
Epoch 592, Validation Loss: 0.072
Epoch 593, Validation Loss: 0.075
Epoch 594, Validation Loss: 0.066
Epoch 595, Validation Loss: 0.062
Epoch 596, Validation Loss: 0.055
Epoch 597, Validation Loss: 0.066
Epoch 598, Validation Loss: 0.061
Epoch 599, Validation Loss: 0.055
Epoch 600, Validation Loss: 0.065
Epoch 601, Validation Loss: 0.067
Epoch 602, Validation Loss: 0.054
Epoch 603, Validation Loss: 0.066
Epoch 604, Validation Loss: 0.057
Epoch 605, Validation Loss: 0.057
Epoch 606, Validation Loss: 0.063
Epoch 607, Validation Loss: 0.061
Epoch 608, Validation Loss: 0.080
Epoch 609, Validation Loss: 0.067
Epoch 610, Validation Loss: 0.067
Epoch 611, Validation Loss: 0.057
Epoch 612, Validation Loss: 0.061
Epoch 613, Validation Loss: 0.064
Epoch 614, Validation Loss: 0.069
Epoch 615, Validation Loss: 0.061
Epoch 616, Validation Loss: 0.065
Epoch 617, Validation Loss: 0.062
Epoch 618, Validation Loss: 0.061
Epoch 619, Validation Loss: 0.054
Epoch 620, Validation Loss: 0.070
Epoch 621, Validation Loss: 0.071
Epoch 622, Validation Loss: 0.057
Epoch 623, Validation Loss: 0.060
Epoch 624, Validation Loss: 0.054
Epoch 625, Validation Loss: 0.062
Epoch 626, Validation Loss: 0.060
Epoch 627, Validation Loss: 0.057
Epoch 628, Validation Loss: 0.049
Epoch 629, Validation Loss: 0.062
Epoch 630, Validation Loss: 0.059
Epoch 631, Validation Loss: 0.047
Epoch 632, Validation Loss: 0.059
Epoch 633, Validation Loss: 0.061
Epoch 634, Validation Loss: 0.052
